Stock Name,NSE Symbol,Category,Exchange,Token ID,Date,Open (₹),High (₹),Low (₹),Close (₹),Volume,Prev Close (₹),Change (₹),Change (%)
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-08,229.9,251.41,226.51,247.76,457376,,,
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-09,247.78,260.62,243.01,257.13,169329,247.76,9.37,3.7819
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-10,257.13,258.63,246.21,254.56,91192,257.13,-2.57,-0.9995
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-11,256.45,270.74,254.06,261.95,103091,254.56,7.39,2.903
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-14,259.16,266.38,259.16,259.82,26929,261.95,-2.13,-0.8131
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-15,260.5,261.68,254.8,255.34,23061,259.82,-4.48,-1.7243
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-16,255.34,274.84,255.34,269.92,93843,255.34,14.58,5.71
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-17,275.1,302.76,264.2,292.39,227539,269.92,22.47,8.3247
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-18,298.38,302.5,280.96,284.16,91855,292.39,-8.23,-2.8147
Thangamayil,THANGAMAYL,Jewellery,NSE,18118,2020-12-21,286.44,286.44,249.52,257.98,113959,284.16,-26.18,-9.2131
